mol_type,method,heads,learning_rate,tie,normalization,contigs,real,predicted,auc,precision,recall,f1,accuracy
plasmid,3_h_lr_0.0001_tie_True_norm_batch,3,0.0001,True,batch,38272,5365,25959,0.604518371400199,0.132075471698113,0.965714285714286,0.254901960784314,0.347777422449632
plasmid,1_h_lr_0.005_tie_False_norm_layer,1,0.005,False,layer,38272,5365,8036,0.776029969649724,0.260869565217391,0.303846153846154,0.259541984732824,0.788255360623782
plasmid,3_h_lr_0.0001_tie_True_norm_None,3,0.0001,True,None,38272,5365,25320,0.5520421817255,0.125,0.96,0.266666666666667,0.340395480225989
plasmid,2_h_lr_0.003_tie_False_norm_layer,2,0.003,False,layer,38272,5365,17301,0.599287333981212,0.17562358276644,0.670289855072464,0.271956856702619,0.663467444717445
plasmid,1_h_lr_0.0001_tie_True_norm_layer,1,0.0001,True,layer,38272,5365,15229,0.760835913312693,0.157894736842105,0.67741935483871,0.273618538324421,0.664583333333333
plasmid,3_h_lr_0.0001_tie_False_norm_None,3,0.0001,False,None,38272,5365,13044,0.48680901284444,0.180687830687831,0.0850987000481463,0.279245283018868,0.765999765999766
plasmid,2_h_lr_0.005_tie_True_norm_None,2,0.005,True,None,38272,5365,10745,0.788154161412358,0.238026124818578,0.333333333333333,0.285714285714286,0.779102470041575
plasmid,1_h_lr_0.0003_tie_True_norm_layer,1,0.0003,True,layer,38272,5365,12955,0.789368655263524,0.2,0.688344594594595,0.288690476190476,0.682458386683739
plasmid,3_h_lr_0.005_tie_True_norm_layer,3,0.005,True,layer,38272,5365,16502,0.843177842298568,0.25,0.660606060606061,0.289198606271777,0.710101867572156
plasmid,3_h_lr_0.0003_tie_False_norm_layer,3,0.0003,False,layer,38272,5365,17053,0.777783547985044,0.17770122142186,0.65625,0.297520661157025,0.635642135642136
plasmid,2_h_lr_0.001_tie_False_norm_layer,2,0.001,False,layer,38272,5365,13774,0.755926707003758,0.191489361702128,0.767948717948718,0.297826086956522,0.664583333333333
plasmid,1_h_lr_0.001_tie_False_norm_layer,1,0.001,False,layer,38272,5365,17179,0.788838473354602,0.174757281553398,0.770979020979021,0.303284671532847,0.644957983193277
plasmid,2_h_lr_0.001_tie_True_norm_layer,2,0.001,True,layer,38272,5365,17824,0.770650171902935,0.2054890921886,0.739864864864865,0.311475409836066,0.684571016582552
plasmid,1_h_lr_0.003_tie_False_norm_batch,1,0.003,False,batch,38272,5365,9619,0.85835020242915,0.245689655172414,0.406353011687144,0.32,0.789798570500325
plasmid,2_h_lr_0.0003_tie_True_norm_layer,2,0.0003,True,layer,38272,5365,17703,0.785511363636364,0.2,0.795161290322581,0.32,0.612819343065693
plasmid,2_h_lr_0.0001_tie_True_norm_batch,2,0.0001,True,batch,38272,5365,24559,0.687285550895921,0.169047619047619,1,0.324952859836581,0.388555194805195
plasmid,1_h_lr_0.005_tie_True_norm_batch,1,0.005,True,batch,38272,5365,17279,0.763830532212885,0.260416666666667,0.80842193037315,0.32520325203252,0.696153846153846
plasmid,2_h_lr_0.0001_tie_True_norm_None,2,0.0001,True,None,38272,5365,24983,0.606927974777551,0.173154446963971,1,0.331223628691983,0.3696738172201
plasmid,1_h_lr_0.005_tie_True_norm_None,1,0.005,True,None,38272,5365,14132,0.856948654793483,0.270484949832776,0.650158898305085,0.332020997375328,0.762099308610937
plasmid,2_h_lr_0.0001_tie_False_norm_layer,2,0.0001,False,layer,38272,5365,14939,0.77150385846038,0.217391304347826,0.851648351648352,0.332577100319036,0.639957264957265
plasmid,1_h_lr_0.0001_tie_False_norm_layer,1,0.0001,False,layer,38272,5365,17009,0.835489081996435,0.2,0.823725055432373,0.334331337325349,0.636363636363636
plasmid,2_h_lr_0.003_tie_True_norm_batch,2,0.003,True,batch,38272,5365,13484,0.859062345533677,0.268716577540107,0.659420289855073,0.339080459770115,0.77680265654649
plasmid,3_h_lr_0.0001_tie_False_norm_batch,3,0.0001,False,batch,38272,5365,23762,0.574688275785372,0.157378740970072,1,0.340706168831169,0.424606643356643
plasmid,3_h_lr_0.0001_tie_False_norm_layer,3,0.0001,False,layer,38272,5365,13977,0.787773243268599,0.274647887323944,0.64575908766928,0.34375,0.724860022396417
plasmid,2_h_lr_0.005_tie_True_norm_batch,2,0.005,True,batch,38272,5365,12345,0.846329202712181,0.375,0.365853658536585,0.344827586206897,0.80790679908327
plasmid,2_h_lr_0.005_tie_False_norm_layer,2,0.005,False,layer,38272,5365,15533,0.703256500340249,0.25,0.769230769230769,0.347550675675676,0.697051123053603
plasmid,1_h_lr_0.0001_tie_True_norm_batch,1,0.0001,True,batch,38272,5365,23003,0.648036475570264,0.154022443496128,1,0.347826086956522,0.453650325646893
plasmid,1_h_lr_0.0001_tie_False_norm_batch,1,0.0001,False,batch,38272,5365,23580,0.529079066339277,0.141276187430034,1,0.349960664242734,0.449973820974248
plasmid,2_h_lr_0.0003_tie_False_norm_layer,2,0.0003,False,layer,38272,5365,17652,0.827273284313725,0.195804195804196,0.768049155145929,0.350194552529183,0.649444444444445
plasmid,1_h_lr_0.0001_tie_False_norm_None,1,0.0001,False,None,38272,5365,22839,0.587878787878788,0.154022443496128,1,0.350256511933381,0.484424666242848
plasmid,3_h_lr_0.005_tie_False_norm_layer,3,0.005,False,layer,38272,5365,23848,0.587287818139007,0.157894736842105,1,0.351038632653714,0.452581369248036
plasmid,1_h_lr_0.0001_tie_True_norm_None,1,0.0001,True,None,38272,5365,22910,0.649237077890838,0.17283950617284,1,0.351758793969849,0.453650325646893
plasmid,1_h_lr_0.001_tie_True_norm_batch,1,0.001,True,batch,38272,5365,14939,0.850470219378495,0.230769230769231,0.720779220779221,0.356349206349206,0.732077374404107
plasmid,1_h_lr_0.0003_tie_False_norm_batch,1,0.0003,False,batch,38272,5365,13129,0.54514963880289,0.286551896207585,0.0804093567251462,0.357608532371939,0.813772561571975
plasmid,1_h_lr_0.003_tie_False_norm_None,1,0.003,False,None,38272,5365,14228,0.825062514884496,0.235772357723577,0.609347826086957,0.357894736842105,0.740906084656085
plasmid,3_h_lr_0.0003_tie_False_norm_None,3,0.0003,False,None,38272,5365,9906,0.688491744066047,0.278846153846154,0.074025974025974,0.363636363636364,0.803475935828877
plasmid,3_h_lr_0.001_tie_True_norm_layer,3,0.001,True,layer,38272,5365,14707,0.830046359655441,0.25,0.702214452214452,0.363636363636364,0.724747474747475
plasmid,3_h_lr_0.003_tie_True_norm_layer,3,0.003,True,layer,38272,5365,20812,0.711587825990056,0.256968896713615,0.811011904761905,0.363636363636364,0.68375
plasmid,1_h_lr_0.001_tie_True_norm_None,1,0.001,True,None,38272,5365,12981,0.849181891554773,0.277605779153767,0.481230212573496,0.363970588235294,0.799122807017544
plasmid,3_h_lr_0.0003_tie_True_norm_layer,3,0.0003,True,layer,38272,5365,14340,0.774159181046936,0.215376513954713,0.692453205894066,0.365304420350292,0.681463414634146
plasmid,1_h_lr_0.005_tie_False_norm_batch,1,0.005,False,batch,38272,5365,13829,0.871830334577288,0.25719246031746,0.81,0.365641711229947,0.717607973421927
plasmid,1_h_lr_0.0003_tie_False_norm_None,1,0.0003,False,None,38272,5365,11277,0.627530839952285,0.271028037383178,0,0.368092691622103,0.829464285714286
plasmid,2_h_lr_0.005_tie_True_norm_layer,2,0.005,True,layer,38272,5365,18708,0.34549565018315,0.180062111801242,0,0.370205046675635,0.54062667740204
plasmid,1_h_lr_0.003_tie_True_norm_layer,1,0.003,True,layer,38272,5365,15001,0.722513678470454,0.25,0.855844155844156,0.371134020618557,0.7
plasmid,1_h_lr_0.001_tie_False_norm_None,1,0.001,False,None,38272,5365,12820,0.835869424692954,0.253162055335968,0.785714285714286,0.372881355932203,0.720594575175139
plasmid,3_h_lr_0.005_tie_True_norm_None,3,0.005,True,None,38272,5365,13555,0.84354609929078,0.424812030075188,0.607692307692308,0.380952380952381,0.779661016949153
plasmid,2_h_lr_0.0001_tie_True_norm_layer,2,0.0001,True,layer,38272,5365,13200,0.767128582202112,0.25,0.677837837837838,0.382978723404255,0.706682206682207
plasmid,3_h_lr_0.0003_tie_True_norm_batch,3,0.0003,True,batch,38272,5365,8673,0.581096866096866,0.258333333333333,0.0454545454545454,0.385185185185185,0.837750087750088
plasmid,2_h_lr_0.0001_tie_False_norm_batch,2,0.0001,False,batch,38272,5365,13646,0.477246979599921,0.236363636363636,0.18955223880597,0.385866736074961,0.789473684210526
plasmid,3_h_lr_0.001_tie_False_norm_layer,3,0.001,False,layer,38272,5365,18226,0.675373134328358,0.245454545454545,0.858571428571429,0.390628679067577,0.677121212121212
plasmid,2_h_lr_0.003_tie_True_norm_None,2,0.003,True,None,38272,5365,16290,0.84011539398368,0.260509764978484,0.744047619047619,0.391843262694922,0.727272727272727
plasmid,2_h_lr_0.0003_tie_False_norm_None,2,0.0003,False,None,38272,5365,12764,0.627520178826149,0.268817204301075,0.052027027027027,0.393220338983051,0.829464285714286
plasmid,2_h_lr_0.0003_tie_False_norm_batch,2,0.0003,False,batch,38272,5365,19847,0.875656209987196,0.223548228346457,0.884920634920635,0.394160583941606,0.625142299560904
plasmid,1_h_lr_0.003_tie_False_norm_layer,1,0.003,False,layer,38272,5365,6966,0.77830459770115,0.404761904761905,0,0.395652173913044,0.834022038567493
plasmid,3_h_lr_0.0001_tie_True_norm_layer,3,0.0001,True,layer,38272,5365,14119,0.8265625,0.268292682926829,0.623475609756098,0.397080291970803,0.743006993006993
plasmid,2_h_lr_0.005_tie_False_norm_batch,2,0.005,False,batch,38272,5365,10640,0.865042917543159,0.447761194029851,0.5,0.398347107438017,0.783030553261767
plasmid,3_h_lr_0.0003_tie_False_norm_batch,3,0.0003,False,batch,38272,5365,11470,0.646544237427145,0.287128712871287,0.0648148148148148,0.4,0.828396143733567
plasmid,1_h_lr_0.0003_tie_False_norm_layer,1,0.0003,False,layer,38272,5365,12355,0.82592512908778,0.286593707250342,0.728501228501228,0.4,0.745785464535465
plasmid,1_h_lr_0.001_tie_True_norm_layer,1,0.001,True,layer,38272,5365,14154,0.809017223910841,0.333333333333333,0.708208955223881,0.4,0.762022471910112
plasmid,1_h_lr_0.005_tie_True_norm_layer,1,0.005,True,layer,38272,5365,14697,0.836228978728143,0.25,0.860232558139535,0.4,0.688034188034188
plasmid,3_h_lr_0.0003_tie_True_norm_None,3,0.0003,True,None,38272,5365,9804,0.576429980276134,0.280487804878049,0.0655971479500891,0.4,0.838273757628596
plasmid,3_h_lr_0.003_tie_True_norm_batch,3,0.003,True,batch,38272,5365,13858,0.801333499035188,0.333333333333333,0.442741935483871,0.401030927835052,0.785014005602241
plasmid,3_h_lr_0.003_tie_False_norm_layer,3,0.003,False,layer,38272,5365,17224,0.755385981912145,0.274037227214377,0.822671156004489,0.40253164556962,0.725540588443814
plasmid,1_h_lr_0.003_tie_True_norm_batch,1,0.003,True,batch,38272,5365,10129,0.836608324902014,0.4,0.103030303030303,0.406896551724138,0.828815628815629
plasmid,3_h_lr_0.003_tie_True_norm_None,3,0.003,True,None,38272,5365,13817,0.898446391597077,0.397368421052632,0.713210702341137,0.411873840445269,0.788979722323712
plasmid,1_h_lr_0.003_tie_True_norm_None,1,0.003,True,None,38272,5365,24316,0.850273614253394,0.260869565217391,0.92,0.413348164627364,0.670762711864407
plasmid,2_h_lr_0.0003_tie_True_norm_batch,2,0.0003,True,batch,38272,5365,13395,0.674789915966387,0.313553370786517,0.382448537378115,0.422064777327935,0.831932773109244
plasmid,2_h_lr_0.001_tie_True_norm_batch,2,0.001,True,batch,38272,5365,11608,0.695999950433091,0.369132985658409,0.2,0.422535211267606,0.851732377538829
plasmid,3_h_lr_0.001_tie_True_norm_batch,3,0.001,True,batch,38272,5365,13766,0.859813416892181,0.386206896551724,0.583759590792839,0.422649719454941,0.805903717419171
plasmid,1_h_lr_0.0003_tie_True_norm_batch,1,0.0003,True,batch,38272,5365,11445,0.650978384236621,0.323308270676692,0.0277777777777777,0.425334800953954,0.849762920815552
plasmid,3_h_lr_0.005_tie_False_norm_batch,3,0.005,False,batch,38272,5365,5778,0.637334170729206,0.537433155080214,0,0.426268969126112,0.848076923076923
plasmid,2_h_lr_0.005_tie_False_norm_None,2,0.005,False,None,38272,5365,8192,0.87521645021645,0.492063492063492,0.531372549019608,0.428571428571429,0.823529411764706
plasmid,2_h_lr_0.0001_tie_False_norm_None,2,0.0001,False,None,38272,5365,13545,0.475980392156863,0.326086956521739,0.218181818181818,0.428728398761363,0.814952204308746
plasmid,1_h_lr_0.0003_tie_True_norm_None,1,0.0003,True,None,38272,5365,13201,0.63186769005848,0.307692307692308,0.325396825396825,0.434782608695652,0.823837665635533
plasmid,2_h_lr_0.001_tie_True_norm_None,2,0.001,True,None,38272,5365,10489,0.842367610837439,0.368,0.0482207697893972,0.436507936507937,0.850811730819586
plasmid,2_h_lr_0.001_tie_False_norm_batch,2,0.001,False,batch,38272,5365,5858,0.608438155136268,0.666666666666667,0,0.440411373260738,0.85
plasmid,3_h_lr_0.005_tie_True_norm_batch,3,0.005,True,batch,38272,5365,14179,0.859335999910618,0.49,0.635828877005348,0.441391614629795,0.801234567901235
plasmid,3_h_lr_0.005_tie_False_norm_None,3,0.005,False,None,38272,5365,11999,0.795052515201769,0.626902764833799,0.363636363636364,0.444444444444445,0.815016103059581
plasmid,1_h_lr_0.001_tie_False_norm_batch,1,0.001,False,batch,38272,5365,8868,0.845898892773893,0.5,0.0513157894736842,0.457356297987134,0.829571905677563
plasmid,2_h_lr_0.0003_tie_True_norm_None,2,0.0003,True,None,38272,5365,14075,0.705304972804973,0.300970873786408,0.566964285714286,0.46078431372549,0.825602968460111
plasmid,3_h_lr_0.001_tie_False_norm_None,3,0.001,False,None,38272,5365,8506,0.75450601028942,0.5,0,0.461538461538462,0.845187144969263
plasmid,3_h_lr_0.001_tie_True_norm_None,3,0.001,True,None,38272,5365,10184,0.732323232323232,0.5,0.0081967213114754,0.48,0.842916174734357
plasmid,2_h_lr_0.001_tie_False_norm_None,2,0.001,False,None,38272,5365,6615,0.710426006511913,0.426603432700994,0.0854545454545454,0.480769230769231,0.850619834710744
plasmid,3_h_lr_0.003_tie_False_norm_batch,3,0.003,False,batch,38272,5365,5731,0.852500870995447,0.627314814814815,0.398183819482664,0.495412844036697,0.824902060977687
plasmid,3_h_lr_0.003_tie_False_norm_None,3,0.003,False,None,38272,5365,17341,0.858198839960078,0.414985374634366,0.801234567901235,0.5,0.77859477124183
plasmid,2_h_lr_0.003_tie_False_norm_None,2,0.003,False,None,38272,5365,10184,0.711132818019046,0.574175824175824,0.0351515151515151,0.5125,0.853330678084238
plasmid,2_h_lr_0.003_tie_True_norm_layer,2,0.003,True,layer,38272,5365,10194,0.865252976190476,0.491525423728814,0.0502828409805154,0.514285714285714,0.860387904265991
plasmid,1_h_lr_0.005_tie_False_norm_None,1,0.005,False,None,38272,5365,9492,0.853650612414529,0.510416666666667,0.0474493623405851,0.523076923076923,0.842674253200569
plasmid,3_h_lr_0.001_tie_False_norm_batch,3,0.001,False,batch,38272,5365,5304,0.888919931292813,0.526315789473684,0.163333333333333,0.524590163934426,0.850373134328358
plasmid,2_h_lr_0.003_tie_False_norm_batch,2,0.003,False,batch,38272,5365,5526,0.733439664669574,0.695684523809524,0,0.53452380952381,0.86684519137541
